stationid,tripsin,tripsout,tripsfailedin,tripsfailedout,tripsfailedout_battery,trips_failedout_destinationfull,station_capacity,demand,percent,edocks
258,7255,7257,26,1913,0,559,23,16451,0.000970584,0
3145,7183,7192,0,2076,0,88,45,16451,0.000970584,0
3087,7706,7707,75,817,0,593,30,16305,0.00096197,0
3307,7545,7548,34,1164,0,154,31,16291,0.000961144,0
3116,7870,7871,78,453,0,356,45,16272,0.000960023,0
516,7521,7534,52,1155,0,185,31,16262,0.000959433,0
3292,7399,7398,0,1444,0,72,43,16241,0.000958194,0
3183,5922,5934,66,4277,0,92,30,16199,0.000955717,0
261,7642,7638,63,836,0,401,27,16179,0.000954537,0
274,7756,7754,146,480,0,402,31,16136,0.000952,0
3078,7500,7505,10,1074,0,334,27,16089,0.000949227,0
3172,7296,7305,9,1399,0,86,27,16009,0.000944507,0
83,7745,7754,119,315,0,315,62,15933,0.000940023,0
3283,6764,6779,0,2271,0,76,47,15814,0.000933002,0
511,7286,7287,264,974,0,287,30,15811,0.000932825,0
3242,7540,7539,147,561,0,440,39,15787,0.000931409,0
260,7268,7279,278,941,0,235,35,15766,0.00093017,0
322,7488,7491,55,681,0,331,31,15715,0.000927161,0
3109,7409,7413,70,815,0,418,31,15707,0.000926689,0
3150,7295,7298,0,1027,0,92,47,15620,0.000921556,0
3082,7278,7270,89,954,0,486,25,15591,0.000919845,0
340,7241,7252,48,991,0,322,27,15532,0.000916365,0
3182,7342,7359,0,829,1,60,42,15530,0.000916247,0
3368,7319,7316,51,767,0,316,30,15453,0.000911704,0
3074,5242,5243,863,3965,0,427,2,15313,0.000903444,0
3077,7118,7120,46,955,0,434,33,15239,0.000899078,0
3351,6914,6901,30,1312,0,52,25,15157,0.00089424,0
3400,6902,6910,7,1256,0,55,24,15075,0.000889402,0
3203,4687,4696,21,5536,1,34,26,14940,0.000881437,0
3346,7190,7202,73,444,0,248,29,14909,0.000879609,0
395,7130,7123,104,438,0,346,30,14795,0.000872883,0
244,6798,6802,35,1099,0,542,31,14734,0.000869284,0
3064,6921,6912,44,824,0,430,23,14701,0.000867337,0
266,6668,6667,123,1174,0,250,24,14632,0.000863266,0
3118,6920,6912,29,729,0,248,30,14590,0.000860788,0
3300,6632,6638,26,1144,0,195,25,14440,0.000851938,0
396,6844,6840,100,652,0,344,25,14436,0.000851702,0
3124,6714,6713,40,808,0,176,27,14275,0.000842203,0
242,6779,6783,129,518,0,300,23,14209,0.00083831,0
341,6585,6586,117,915,0,234,19,14203,0.000837956,0
3378,6412,6423,10,1283,0,129,28,14128,0.000833531,0
3414,6681,6681,33,663,0,323,33,14058,0.000829401,0
3290,6417,6419,0,1203,0,66,35,14039,0.00082828,0
3453,6535,6536,77,838,0,450,19,13986,0.000825153,0
3315,6486,6476,81,863,0,315,23,13906,0.000820433,0
3100,6571,6560,43,677,0,397,39,13851,0.000817188,0
343,6532,6527,132,655,0,374,23,13846,0.000816893,0
416,6335,6345,6,1118,0,371,31,13804,0.000814415,0
241,6219,6228,41,1151,0,509,23,13639,0.00080468,0
3106,6281,6288,87,964,0,350,19,13620,0.000803559,0
243,6554,6536,191,286,0,284,31,13567,0.000800433,0
3135,6186,6189,6,1131,0,116,41,13512,0.000797188,0
3467,6340,6337,1,809,0,228,42,13487,0.000795713,0
3335,6351,6342,134,593,0,328,16,13420,0.00079176,0
