bike,start_time,end_time,start_st,end_st
267_17,2017-07-06 08:53:06.415076,2017-07-06 08:55:08.194868,3463,503
3362_12,2017-07-06 09:12:11.684117,2017-07-06 09:13:36.752369,491,537
3452_6,2017-07-06 09:35:21.913352,2017-07-06 09:37:37.332017,3463,297
251_3,2017-07-06 09:48:43.684641,2017-07-06 09:50:26.703684,164,440
3411_11,2017-07-06 09:48:09.111426,2017-07-06 09:51:08.423212,164,440
72_1,2017-07-06 09:49:59.011163,2017-07-06 09:52:44.558987,3443,3458
3307_3,2017-07-06 10:02:26.639755,2017-07-06 10:04:05.002711,3463,297
442_9,2017-07-06 10:04:24.831114,2017-07-06 10:05:55.667148,468,469
399_10,2017-07-06 10:04:37.736395,2017-07-06 10:07:09.485427,468,469
428_9,2017-07-06 10:03:54.143004,2017-07-06 10:07:15.544252,3463,497
284_8,2017-07-06 10:27:39.147727,2017-07-06 10:29:53.902714,3463,297
3282_16,2017-07-06 11:22:00.825683,2017-07-06 11:26:32.062798,359,456
228_18,2017-07-06 11:32:19.507457,2017-07-06 11:34:15.903534,3459,385
3137_7,2017-07-06 11:43:41.751619,2017-07-06 11:46:15.464578,484,524
3139_10,2017-07-06 17:26:28.647858,2017-07-06 17:30:44.627618,3255,3259
423_13,2017-07-06 17:27:21.871378,2017-07-06 17:31:26.903708,3255,3259
402_16,2017-07-06 17:30:14.950331,2017-07-06 17:32:49.115661,3259,509
519_28,2017-07-06 18:10:08.163406,2017-07-06 18:15:11.588687,3255,3259
260_5,2017-07-06 19:49:54.392047,2017-07-06 19:54:13.377931,326,237
394_10,2017-07-06 19:52:58.985357,2017-07-06 19:55:58.524642,237,438
3458_15,2017-07-06 20:17:10.222518,2017-07-06 20:19:19.064560,237,236
3466_13,2017-07-06 20:24:24.789655,2017-07-06 20:27:03.286138,326,236
507_17,2017-07-06 20:27:55.904115,2017-07-06 20:30:01.492399,237,438
297_11,2017-07-06 20:28:25.250820,2017-07-06 20:30:20.141241,237,438
524_4,2017-07-06 20:28:35.503264,2017-07-06 20:30:31.875227,237,438
3303_11,2017-07-06 20:28:37.110458,2017-07-06 20:30:39.433932,236,3263
527_8,2017-07-06 20:28:21.126375,2017-07-06 20:30:53.147962,237,438
3092_7,2017-07-06 20:47:05.359116,2017-07-06 20:50:04.218614,236,3263
522_24,2017-07-06 20:55:38.297357,2017-07-06 20:59:07.156293,326,504
3094_5,2017-07-06 21:08:25.330172,2017-07-06 21:10:39.161956,237,236
236_8,2017-07-06 21:08:34.636928,2017-07-06 21:11:20.154231,237,236
447_2,2017-07-06 21:25:20.798525,2017-07-06 21:27:42.221352,301,428
459_19,2017-07-06 21:38:50.958197,2017-07-06 21:42:25.732771,394,150
3302_1,2017-07-06 21:39:35.006441,2017-07-06 21:42:53.440858,394,150
3394_9,2017-07-06 21:40:00.977697,2017-07-06 21:43:37.231825,433,432
293_5,2017-07-06 21:50:30.617021,2017-07-06 21:53:34.744958,438,3263
505_1,2017-07-06 22:32:19.297231,2017-07-06 22:35:26.197794,433,317
3294_3,2017-07-06 22:49:57.279549,2017-07-06 22:52:24.474644,3263,438
267_24,2017-07-07 08:53:08.928141,2017-07-07 08:55:16.122393,3457,305
3118_12,2017-07-07 08:52:06.561196,2017-07-07 08:55:22.770488,3457,305
